0,0,0,0,0,0,0,1,0,1,1
1,0,0,0,1,0,0,1,1,-1,1
3,0,0,0.0161290323,0.064516129,0,0,1,0,1,0
0,2,0,0.0444444444,0,0,0,1,0,1,0
1,5,0,0.0392156863,0,0,0,1,1,1,0
0,1,0,0.8333333333,0.1666666667,1,0,1,-1,-1,1
0,0,0,0,1,0,0,1,1,-1,1
0,4,0,0,0,1,0,1,1,1,1
0,1,0,0,1,0,0,1,1,-1,1
1,0,1,0,0,0,0,1,1,1,1
6,0,0,0.1370967742,0.0887096774,0,1,-1,-1,1,0
0,5,0,0.0266666667,0,0,1,1,0,1,0
5,7,0,0.1184210526,0.1973684211,0,0,-1,0,0,0
0,0,0,1,0,1,0,-1,-1,-1,1
1,0,0,0,0,0,0,1,1,1,1
7,0,0,0.1568627451,0.0294117647,0,1,-1,0,1,0
0,0,0,0.7777777778,0.2222222222,0,0,1,0,-1,1
0,0,0,0,1,0,0,1,1,-1,1
0,15,0,0,1,0,0,1,1,-1,1
1,1,0,0.9230769231,0,1,0,1,-1,-1,1
1,1,0,0.0208333333,0,0,0,1,-1,1,0
0,1,0,0,1,1,0,-1,1,-1,1
0,0,0,0.0909090909,0.9090909091,1,0,-1,0,-1,1
0,0,0,0.1538461538,0.0769230769,0,0,1,0,1,0
6,0,0,0.1306306306,0.0495495495,0,1,1,0,1,0
1,2,0,1,0,0,0,1,0,-1,1
0,0,0,0,1,0,0,1,1,-1,1
0,2,0,1,0,1,0,-1,-1,-1,1
0,0,1,0,1,0,0,1,0,-1,1
1,4,0,0,0,0,0,1,-1,1,1
0,4,0,0.0158730159,0.126984127,0,0,1,0,1,0
8,23,0,0.125,0.03125,0,0,0,0,1,0
0,6,0,0.125,0.0416666667,0,0,1,0,1,0
0,1,0,0.0363636364,0.3636363636,0,1,1,1,0,0
2,8,0,0.3211678832,0.0218978102,0,0,-1,0,0,0
0,6,0,0.1583333333,0,0,0,1,1,1,0
9,6,0,0.049689441,0.1594202899,0,1,1,0,1,0
3,9,0,0,0,0,0,-1,-1,1,0
0,8,0,0.3956043956,0,0,1,0,0,0,0
1,0,0,0.1951219512,0,0,0,0,0,1,0
